VARIABLE,M_FLT_HY_LD,MFLT_HY_SHK,M_FLT_WAS,M_FLT_COND,M_COND_SP,M_COND_CTRL,M_COAG_SP,M_COAG_CTRL,M_FLOC_SP,M_FLOC_CTRL,M_RAW_LD,M_RAW_VAR
STREAM,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0
FILTER,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0
RUN_TIME_HRS,0,0,1,0,0,0,0,0,0,0,0,0
FLOW_IQR,0,1,0,0,0,0,0,0,0,0,0,0
FLOW_MEAN,1,0,0,0,0,0,0,0,0,0,0,0
FLOW_SD,0,1,0,0,0,0,0,0,0,0,0,0
LEVEL_MEAN,0,0,0,1,0,0,0,0,0,0,0,0
LEVEL_SD,0,0.5,0.5,0,0,0,0,0,0,0,0,0
PRE_COAG_PH_MED,0,0,0,0,1,0,0,0,0,0,0,0
PRE_COAG_PH_SD,0,0,0,0,0,1,0,0,0,0,0,0
PRE_FLOC_PH_MED,0,0,0,0,1,0,0,0,0,0,0,0
PRE_FLOC_PH_SD,0,0,0,0,0,0.5,0,0.5,0,0,0,0
RAW_TURB_MEAN,0,0,0,0,0,0,0,0,0,0,1,0
RAW_TURB_SD,0,0,0,0,0,0,0,0,0,0,0,1
RAW_COL_MEAN,0,0,0,0,0,0,0,0,0,0,1,0
RAW_COL_SD,0,0,0,0,0,0,0,0,0,0,0,1
RAW_PH_MED,0,0,0,0,1,0,0,0,0,0,0,0
RAW_PH_SD,0,0,0,0,0,1,0,0,0,0,0,0
LIME_H20_MEAN,0,0,0,0,1,0,0,0,0,0,0,0
LIME_H20_SD,0,0,0,0,0,1,0,0,0,0,0,0
LIME_DOSE_MEAN,0,0,0,0,1,0,0,0,0,0,0,0
LIME_DOSE_SD,0,0,0,0,0,1,0,0,0,0,0,0
AL_H20_MEAN,0,0,0,0,0,0,1,0,0,0,0,0
AL_H20_SD,0,0,0,0,0,0,0,1,0,0,0,0
AL_DOSE_MEAN,0,0,0,0,0,0,1,0,0,0,0,0
AL_DOSE_SD,0,0,0,0,0,0,0,1,0,0,0,0
POLY_H20_MEAN,0,0,0,0,0,0,0,0,1,0,0,0
POLY_H20_SD,0,0,0,0,0,0,0,0,0,1,0,0
POLY_DOSE_MEAN,0,0,0,0,0,0,0,0,1,0,0,0
POLY_DOSE_SD,0,0,0,0,0,0,0,0,0,1,0,0
STREAM_AL_MEAN,0,0,0,0,0.2,0,0.7,0,0.1,0,0,0
STREAM_AL_SD,0,0.05,0,0,0,0.15,0,0.7,0,0.1,0,0
STREAM_PH_MEAN,0,0,0,0,0.7,0,0.2,0,0.1,0,0,0
STREAM_PH_SD,0,0.05,0,0,0,0.7,0,0.2,0,0.05,0,0
STREAM_COL_MEAN,0,0,0,0,0.2,0,0.7,0,0.1,0,0,0
STREAM_COL_SD,0,0,0,0,0,0.2,0,0.7,0,0.1,0,0
CBHL_NORM,0,0,0.5,0.5,0,0,0,0,0,0,0,0
EARLY_HL_SD,0,0,0.5,0.5,0,0,0,0,0,0,0,0
MAX_TURB_FLOW,0,1,0,0,0,0,0,0,0,0,0,0
MAX_FLOW_CHANGE,0,1,0,0,0,0,0,0,0,0,0,0
MAX_FLOW_CHANGE_EARLY,0,0.5,0.5,0,0,0,0,0,0,0,0,0
FILT_VOL_M3,1,0,0,0,0,0,0,0,0,0,0,0
SPECIFIC_HL,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0
SPIKE_FLOW_DIF,0,1,0,0,0,0,0,0,0,0,0,0
FILTER_ID,0,0,0,1,0,0,0,0,0,0,0,0
RUN_HL,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0
