nodes,label,type,colour,shape,fontsize
R,RAW,lower,black,rectangle,30
CND,CONDITIONING,lower,black,rectangle,30
S1COA,COAGULATION,lower,black,rectangle,20
S2COA,COAGULATION,lower,black,rectangle,20
S3COA,COAGULATION,lower,black,rectangle,20
S4COA,COAGULATION,lower,black,rectangle,20
S1FL,FLOCCULATION,lower,black,rectangle,20
S2FL,FLOCCULATION,lower,black,rectangle,20
S3FL,FLOCCULATION,lower,black,rectangle,20
S4FL,FLOCCULATION,lower,black,rectangle,20
S1F1,FILTER,lower,black,rectangle,14
S1F2,FILTER,lower,black,rectangle,14
S1F3,FILTER,lower,black,rectangle,14
S1F4,FILTER,lower,black,rectangle,14
S1F5,FILTER,lower,black,rectangle,14
S1F6,FILTER,lower,black,rectangle,14
S2F1,FILTER,lower,black,rectangle,14
S2F2,FILTER,lower,black,rectangle,14
S2F3,FILTER,lower,black,rectangle,14
S2F4,FILTER,lower,black,rectangle,14
S2F5,FILTER,lower,black,rectangle,14
S2F6,FILTER,lower,black,rectangle,14
S3F1,FILTER,lower,black,rectangle,14
S3F2,FILTER,lower,black,rectangle,14
S3F3,FILTER,lower,black,rectangle,14
S3F4,FILTER,lower,black,rectangle,14
S3F5,FILTER,lower,black,rectangle,14
S3F6,FILTER,lower,black,rectangle,14
S4F1,FILTER,lower,black,rectangle,14
S4F2,FILTER,lower,black,rectangle,14
S4F3,FILTER,lower,black,rectangle,14
S4F4,FILTER,lower,black,rectangle,14
S4F5,FILTER,lower,black,rectangle,14
S4F6,FILTER,lower,black,rectangle,14
S1CW,CLEARWELL,lower,black,rectangle,20
S2CW,CLEARWELL,lower,black,rectangle,20
S3CW,CLEARWELL,lower,black,rectangle,20
S4CW,CLEARWELL,lower,black,rectangle,20
DIS,DISINFECTION,lower,black,rectangle,40
